[INFO ] [2021-01-22 13:45:03,956] Precondition - Step 06: Open search page
[INFO ] [2021-01-22 13:45:05,504] Search With Empty Data - Step 01: click Search button
[INFO ] [2021-01-22 13:45:06,834] Search With Empty Data - Step 02: verify Search warning
[INFO ] [2021-01-22 13:45:06,885]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:06,901] Search With Data Not Exist - Step 01: input to Search textbox with value: Macbook Pro 2050
[INFO ] [2021-01-22 13:45:07,488] Search With Data Not Exist - Step 02: click Search button
[INFO ] [2021-01-22 13:45:08,828] Search With Data Not Exist - Step 03: verify Search warning
[INFO ] [2021-01-22 13:45:08,879]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:08,886] Search With Product Name - Step 01: input to Search textbox with value: Lenovo
[INFO ] [2021-01-22 13:45:09,458] Search With Product Name - Step 02: click Search button
[INFO ] [2021-01-22 13:45:10,762] Search With Product Name - Step 03: verify there is only 2 products
[INFO ] [2021-01-22 13:45:10,808]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:10,808] Search With Product Name - Step 04: input to Search textbox with value: thinkpad x1 carbon
[INFO ] [2021-01-22 13:45:11,403] Search With Product Name - Step 05: click Search button
[INFO ] [2021-01-22 13:45:11,995] Search With Product Name - Step 06: verify there is only 1 products
[INFO ] [2021-01-22 13:45:12,040]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:12,047] Advanced Search With Parent Categories - Step 01: input to Search textbox with value: apple macbook pro
[INFO ] [2021-01-22 13:45:12,642] Advanced Search With Parent Categories - Step 02: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:12,909] Advanced Search With Parent Categories - Step 03: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:13,200] Advanced Search With Parent Categoriese - Step 04: click Search button
[INFO ] [2021-01-22 13:45:13,797] Advanced Search With Parent Categoriese - Step 05: verify Search warning
[INFO ] [2021-01-22 13:45:13,843]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:13,851] Advanced Search With Sub Categories - Step 01: input to Search textbox with value: apple macbook pro
[INFO ] [2021-01-22 13:45:14,413] Advanced Search With Sub Categories - Step 02: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:14,444] Advanced Search With Sub Categories - Step 03: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:14,504] Advanced Search With Sub Categories - Step 04: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:14,758] Advanced Search With Sub Categoriese - Step 05: click Search button
[INFO ] [2021-01-22 13:45:16,416] Advanced Search With Sub Categoriese - Step 06: verify there is only 1 products
[INFO ] [2021-01-22 13:45:16,459]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:16,464] Advanced Search With Incorrect Manufacturer - Step 01: input to Search textbox with value: apple macbook pro
[INFO ] [2021-01-22 13:45:17,069] Advanced Search With Incorrect Manufacturer - Step 02: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:17,102] Advanced Search With Incorrect Manufacturer - Step 03: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:17,162] Advanced Search With Incorrect Manufacturer - Step 04: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:17,192] Advanced Search With Incorrect Manufacturer - Step 05: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:17,465] Advanced Search With Incorrect Manufacturer - Step 06: click Search button
[INFO ] [2021-01-22 13:45:18,790] Advanced Search With Incorrect Manufacturer - Step 07: verify Search warning
[INFO ] [2021-01-22 13:45:18,838]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:18,845] Advanced Search With Correct Manufacturer - Step 01: input to Search textbox with value: apple macbook pro
[INFO ] [2021-01-22 13:45:19,434] Advanced Search With Correct Manufacturer - Step 02: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:19,464] Advanced Search With Correct Manufacturer - Step 03: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:19,510] Advanced Search With Correct Manufacturer - Step 04: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:19,541] Advanced Search With Correct Manufacturer - Step 05: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:19,796] Advanced Search With Correct Manufacturer - Step 06: click Search button
[INFO ] [2021-01-22 13:45:20,464] Advanced Search With Correct Manufacturer - Step 07: verify there is only 1 products
[INFO ] [2021-01-22 13:45:20,502]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:20,507] Advanced Search In Price Range - Step 01: input to Search textbox with value: apple macbook pro
[INFO ] [2021-01-22 13:45:21,076] Advanced Search In Price Range - Step 02: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:21,119] Advanced Search In Price Range - Step 03: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:21,168] Advanced Search In Price Range - Step 04: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:21,199] Advanced Search In Price Range - Step 05: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:21,239] Advanced Search In Price Range - Step 06: select price range 1000-2000
